champion,Matchup,Performance avg,Performance std,role,games,Matchup Role
Ahri,Lissandra,-4.04532228551135,108.19985937070983,MID_LANE,24,TOP_LANE
Ahri,Lucian,-25.349846027440236,84.80763886646824,MID_LANE,6,TOP_LANE
Ahri,Lulu,14.778399044691445,88.585336090186,MID_LANE,14,TOP_LANE
Ahri,Malphite,-4.603627645294599,102.17182485959691,MID_LANE,76,TOP_LANE
Ahri,Maokai,-0.1254939753492501,104.23668105080063,MID_LANE,54,TOP_LANE
Ahri,MonkeyKing,15.29071492521605,97.03420110903481,MID_LANE,6,TOP_LANE
Ahri,Mordekaiser,45.98257758826276,103.06944893092941,MID_LANE,16,TOP_LANE
Ahri,Morgana,-28.517477069964738,67.56108481099903,MID_LANE,6,TOP_LANE
Ahri,Nautilus,-19.58021900036531,85.51239435349603,MID_LANE,41,TOP_LANE
Ahri,Olaf,-6.639196885329045,97.98531524980191,MID_LANE,55,TOP_LANE
Ahri,Ornn,7.919927449554788,100.92620481953705,MID_LANE,218,TOP_LANE
Ahri,Poppy,4.285275262614794,106.40726067247691,MID_LANE,23,TOP_LANE
Ahri,Renekton,4.497156698992317,101.33093963163617,MID_LANE,200,TOP_LANE
Ahri,Riven,10.634100095630345,130.03242625287143,MID_LANE,18,TOP_LANE
Ahri,Rumble,2.4846396083760025,92.19603807328508,MID_LANE,65,TOP_LANE
Ahri,Ryze,2.676107756932889,96.18987865408343,MID_LANE,20,TOP_LANE
Ahri,Sejuani,21.78137158149012,103.13441806678094,MID_LANE,144,TOP_LANE
Ahri,Sett,-11.592161086576862,95.27805298302502,MID_LANE,24,TOP_LANE
Ahri,Shen,19.134387267244957,114.3235310518957,MID_LANE,60,TOP_LANE
Ahri,Shyvana,-0.725204127891192,95.89786301245333,MID_LANE,28,TOP_LANE
Ahri,Sion,9.685094849293382,97.48996671465822,MID_LANE,119,TOP_LANE
Ahri,Sylas,-21.57799580288967,79.04447590601629,MID_LANE,21,TOP_LANE
Ahri,TahmKench,18.25210999267457,98.0760513036709,MID_LANE,7,TOP_LANE
Ahri,Trundle,63.185196685287224,90.83202142624833,MID_LANE,14,TOP_LANE
Ahri,Tryndamere,-10.510450295313413,99.88793984224532,MID_LANE,53,TOP_LANE
Ahri,Urgot,-11.146236206656061,90.64614567270593,MID_LANE,16,TOP_LANE
Ahri,Vladimir,-10.751379359430002,96.27584765670765,MID_LANE,20,TOP_LANE
Ahri,Yone,-50.61527294474594,81.8295498880878,MID_LANE,16,TOP_LANE
Akali,Aatrox,-14.426591183808513,102.6670933012778,MID_LANE,213,TOP_LANE
Akali,Camille,11.351168037915816,89.8046799354065,MID_LANE,152,TOP_LANE
Akali,Chogath,-18.03376852187366,94.36280553748313,MID_LANE,24,TOP_LANE
Akali,Darius,-31.441248411373877,78.82390046649468,MID_LANE,17,TOP_LANE
Akali,DrMundo,46.853048543947764,98.75666111692337,MID_LANE,20,TOP_LANE
Akali,Fiora,-11.528618645929255,100.3375673705758,MID_LANE,68,TOP_LANE
Akali,Gangplank,-9.17860493953832,98.35230488109391,MID_LANE,149,TOP_LANE
Akali,Gnar,1.7234584692521693,105.57028422435407,MID_LANE,245,TOP_LANE
Akali,Gragas,16.682983688882356,107.73375620590062,MID_LANE,110,TOP_LANE
Akali,Graves,4.77122590439575,89.24189552398022,MID_LANE,38,TOP_LANE
Akali,Gwen,5.977772410434619,103.4795181670423,MID_LANE,137,TOP_LANE
Akali,Hecarim,-10.201777850164932,59.21105422787537,MID_LANE,6,TOP_LANE
Akali,Irelia,13.51291155029556,108.15163013654139,MID_LANE,47,TOP_LANE
Akali,JarvanIV,-47.73592093603879,63.75290899907222,MID_LANE,6,TOP_LANE
Akali,Jax,-15.406020926447168,91.93969204376968,MID_LANE,112,TOP_LANE
Akali,Jayce,-9.214138913095722,92.361718868094,MID_LANE,170,TOP_LANE
Akali,Karma,13.033329316676005,95.65037595584322,MID_LANE,29,TOP_LANE
Akali,Kayle,-11.398666478414714,92.16557707004736,MID_LANE,15,TOP_LANE
Akali,Kennen,-7.8848534528556495,91.83608079780234,MID_LANE,102,TOP_LANE
Akali,Kled,28.4151648178158,93.11192585812861,MID_LANE,20,TOP_LANE
Akali,KSante,3.0976487382355486,99.69117110793123,MID_LANE,96,TOP_LANE
Akali,LeeSin,-24.08724452642879,108.9288119387007,MID_LANE,36,TOP_LANE
Akali,Lucian,29.204833682921176,71.56943261083181,MID_LANE,9,TOP_LANE
Akali,Lulu,22.6637075604563,118.67436101825757,MID_LANE,14,TOP_LANE
