,id,rel_rate,games,winrate,name,role,patch
127,Kalista-BOT_LANE-5.18,-16.972357756553237,29,0.4827586206896552,Kalista,BOT_LANE,5.18
128,Gangplank-TOP_LANE-5.18,-1000.0,2,1.0,Gangplank,TOP_LANE,5.18
129,LeeSin-JUNGLE-5.18,-0.8993632046084089,18,0.5,LeeSin,JUNGLE,5.18
130,Veigar-MID_LANE-5.18,-15.23901296716465,8,0.375,Veigar,MID_LANE,5.18
131,Morgana-UTILITY-5.18,-0.9385955920130183,17,0.47058823529411764,Morgana,UTILITY,5.18
132,Rengar-JUNGLE-5.18,-1000.0,2,0.0,Rengar,JUNGLE,5.18
133,Tristana-BOT_LANE-5.18,-25.20578723977719,27,0.4074074074074074,Tristana,BOT_LANE,5.18
134,Fizz-MID_LANE-5.18,-17.41959273609731,4,0.5,Fizz,MID_LANE,5.18
135,Darius-TOP_LANE-5.18,-14.784226918192362,38,0.5,Darius,TOP_LANE,5.18
136,Gragas-JUNGLE-5.18,-5.918533261349048,29,0.4482758620689655,Gragas,JUNGLE,5.18
137,Fiora-TOP_LANE-5.18,19.28515920896898,19,0.5789473684210527,Fiora,TOP_LANE,5.18
138,Gnar-TOP_LANE-5.18,-9.391762566551646,19,0.42105263157894735,Gnar,TOP_LANE,5.18
139,Leblanc-MID_LANE-5.18,2.8707754116327058,11,0.5454545454545454,Leblanc,MID_LANE,5.18
140,Alistar-UTILITY-5.18,9.315707418089257,30,0.5,Alistar,UTILITY,5.18
141,RekSai-JUNGLE-5.18,23.939449314508888,37,0.40540540540540543,RekSai,JUNGLE,5.18
142,Jinx-BOT_LANE-5.18,5.241429439054909,29,0.5172413793103449,Jinx,BOT_LANE,5.18
143,Zed-MID_LANE-5.18,-1000.0,2,0.0,Zed,MID_LANE,5.18
144,Vayne-BOT_LANE-5.18,-33.04588147048201,6,0.3333333333333333,Vayne,BOT_LANE,5.18
145,Gangplank-MID_LANE-5.18,-1000.0,2,1.0,Gangplank,MID_LANE,5.18
146,Maokai-TOP_LANE-5.18,-1000.0,3,0.0,Maokai,TOP_LANE,5.18
147,Ekko-MID_LANE-5.18,-22.07406368670583,5,0.2,Ekko,MID_LANE,5.18
148,Lulu-MID_LANE-5.18,-12.834032224648778,18,0.4444444444444444,Lulu,MID_LANE,5.18
149,Ahri-MID_LANE-5.18,28.364223364366186,3,0.3333333333333333,Ahri,MID_LANE,5.18
150,KogMaw-BOT_LANE-5.18,21.038211484859072,7,0.42857142857142855,KogMaw,BOT_LANE,5.18
151,Olaf-TOP_LANE-5.18,-28.05797899543172,8,0.375,Olaf,TOP_LANE,5.18
152,Malphite-TOP_LANE-5.18,-31.208033557593893,10,0.3,Malphite,TOP_LANE,5.18
153,Annie-UTILITY-5.18,-7.1401816864052545,9,0.4444444444444444,Annie,UTILITY,5.18
154,Vladimir-TOP_LANE-5.18,-1000.0,1,1.0,Vladimir,TOP_LANE,5.18
155,Vi-JUNGLE-5.18,-1000.0,1,0.0,Vi,JUNGLE,5.18
156,Orianna-MID_LANE-5.18,-7.198099309680261,12,0.25,Orianna,MID_LANE,5.18
157,Olaf-MID_LANE-5.18,-1000.0,1,1.0,Olaf,MID_LANE,5.18
158,Irelia-MID_LANE-5.18,-1000.0,1,0.0,Irelia,MID_LANE,5.18
159,Rumble-TOP_LANE-5.18,39.373630795849145,5,0.8,Rumble,TOP_LANE,5.18
160,Kassadin-MID_LANE-5.18,18.12753541987395,7,0.7142857142857143,Kassadin,MID_LANE,5.18
161,Nidalee-JUNGLE-5.18,-1000.0,3,1.0,Nidalee,JUNGLE,5.18
162,Varus-BOT_LANE-5.18,-1000.0,1,1.0,Varus,BOT_LANE,5.18
163,JarvanIV-JUNGLE-5.18,-2.90985264120039,4,0.75,JarvanIV,JUNGLE,5.18
164,Ryze-MID_LANE-5.18,48.047035165345704,6,0.8333333333333334,Ryze,MID_LANE,5.18
165,Renekton-TOP_LANE-5.18,39.89630562198631,6,0.6666666666666666,Renekton,TOP_LANE,5.18
166,TwistedFate-MID_LANE-5.18,7.571768552609423,12,0.5833333333333334,TwistedFate,MID_LANE,5.18
